73264614727634632134662152,8,-8,-8,7,-8,100,8
374256645365453273513675163,7,7,-100,-8,-100,7,-7
345746427126326446472172,8,8,9,100,9,8,8
321672332611,0,-2,0,-1,-3,-3,-3
721451711636552445,-4,-2,-4,3,-4,-4,2
27713231213,-16,15,4,15,15,15,15
42461542337425137625,-11,-11,-11,-11,-11,-11,-11
2131244523,2,16,2,3,3,3,3
35121555662573412126,-11,11,-11,-11,-11,-11,-11
431577542677322151611563643,7,-8,7,7,7,7,7
2576642665151,-14,-14,-15,-14,-15,-14,-14
666777,0,0,0,0,-1,0,-1
12662,4,4,2,4,-2,3,3
42722366737,15,15,15,15,15,15,15
515647143432514564713554,8,8,9,100,100,8,8
63571331376377422262155624757,6,6,6,-7,6,6,-100
23246675515,13,13,4,12,12,13,13
22434453353326322675676171,-8,-8,100,-7,-8,-8,-8
13476741561477363523135565,7,7,6,-8,6,6,8
626341531531423454222267,-9,100,-9,9,8,9,-9
55765371222322136751125517,-8,100,-7,-8,100,-8,-8
24172323421,3,13,0,0,0,0,13
153121,0,3,4,18,3,3,0
273164565131537,-14,13,13,13,-4,13,13
747325555,3,-3,-3,-7,2,-17,2
7131623723363761,4,-13,-13,-13,-13,-13,-13
344635436,16,16,16,16,6,16,-17
57343321,-4,-1,-1,-2,-2,-5,-2
14726361,-17,-17,-17,-17,2,-17,-17
52317222116773,-2,-2,2,14,3,-1,-2
65231736524624646151652,0,9,9,9,9,-100,9
4532362425532366435466765,8,8,-9,8,8,-100,8
16727142114527,4,4,3,8,8,4,4
314654,-2,18,2,3,2,2,-2
21524,18,18,2,18,18,18,18
611713475422116775425447763,7,7,-8,7,-6,7,-100
657577222674134711136,2,0,0,0,0,0,1
372556413166743442554354637115,1,6,1,100,100,5,5
3225617341667,-1,-1,-2,-1,0,0,0
644756773367512452,11,11,11,11,12,12,11
